zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
虚拟人,Virtual Human,Virtual,Virtual people,The Virtual Man,0.794947968,0.808981093,0.759166792
体表标志,landmark of body surface,Body sign,Body logos,Sign of body.,0.700426865,0.610102296,0.786331803
A点,point A,Point A.,Point A,A point.,0.817306038,1.00000012,0.923549669
Ar点,point Ar,Point,Ar Point,Ar point,0.721453967,0.999999981,0.999999981
耳点,auricular point,Keep your ears open.,Ear point,the ear.,0.274277226,0.588113228,0.351156885
B点,point B,Point B.,Point B,B point,0.832447606,0.999999954,0.999999954
Ba点,point Ba,Ba-da-da-da-da-da-da-da-da-da-da-da-da-da-da-da.,Ba Point,by Ba,0.352624541,1.00000003,0.727382072
巴克点,Barker point,Buck dot.,Bark Point,The backer point.,0.440735026,0.53386218,0.550702787
Z点,point Z,Z-point.,Z Point,Z point.,0.812055627,1.000000018,0.914572271
颧突尖,malar point,Quite a tip.,Cheek tip,Thumbnail,0.319889734,0.449419883,0.085183641
博尔顿点,Bolton point,Bolton Spot.,Bolton Point,The Bolt Point.,0.749256916,0.999999901,0.498122341
伏格特点,"Vogt point, Vogt-Hueter point",Vogue Characteristics,Vog characteristics,The Vogue Specifications,0.147906603,0.068467053,0.163559533
布罗德本特登记点,Broadbent registration point,Brodburnt Registration Point,Broadbent Registry,Broadbent Registration Point,0.714842614,0.655195011,1.000000011
布罗卡点,Broca point,Brocka dot.,Broca Point,Brooke point.,0.141383199,1.000000016,0.236132311
眶上点,supraorbital point,Wake up.,Point above the orbit,to the point.,0.15058201,0.447575978,0.296454605
枕点,occipital point,Pillow dots.,Pillow point,The Belt,0.271666208,0.468947511,0.308886097
枕骨髁后点,Bolton point,Back of the pillow.,Rear point of the pillow bone,The back of the bite.,0.34135403,0.426034829,0.35972426
聋点,deaf point,Be deaf.,Deafness,The Sure.,0.79962853,0.422337024,0.541622031
下颌咬轴点,hinge-axis point,Bite the axle.,Jaw bite axis,Hurting the axis.,0.564547926,0.68163052,0.71449129
下颌屈戍关节点,hinge-axis point,Lower Tile Node,Joint point of mandibular flexion,down the point.,0.501058786,0.566048774,0.578665275
颧上颌点,jugomaxillary point,Put it down.,Cheek maxilla,to the point.,0.64673371,0.116689393,0.798713253
基恩点,Keen point,Genetus.,Keen Point,by Kane.,0.308984503,0.99999988,0.290095276
柯赫尔点,Kocher point,Kohl Point.,Cohert Point,Coher point.,0.247626239,0.434775084,0.265297269
泪点,lacrimal punctum,Tears.,Tears,the tears.,0.044364459,0.195325319,-0.000133605
樱桃红点,cherry-red spot,Cherry red dot.,Cherry Red Dot,Cherry Red Point,0.836532403,0.833769186,0.885576239
棉絮状渗出点,cottonwool spots,Cotton-like seeps.,Cotton floccus leakage point,Points of penetration.,0.385890887,0.376590333,0.415781156
颞下点,subtemporal point,Hold it down a little bit.,Lower point,The next point.,0.664825593,0.819076123,0.795003662
便利点,convenience point,Make it easier.,Point of convenience,The facility.,0.623531197,0.930269688,0.597052946
星点,asterion,Star dots,Starpoints,The Star,0,0,0
翼点,pterion,Wing Dots,Wings,The Wing Point,0,0,0
冠矢点,bregma,Dots,Crown point,The Crown Point.,0,0,0
人字点,lambda,Human dots,Human characters,the word point.,0.199939863,0.143016885,0.089842106
颈动脉搏动点,pulsation,"No, no, no, no. No, no, no, no, no, no, no, no.",Neck pulsation point,arthritis of the neck.,-0.02550103,0.641421482,0.076078804
测颅点,craniometric point,Head count.,Cranial point,Testing the point.,0.575935813,0.623733752,0.752512402
西耳维厄斯点,Sylvian point,Sylveles Spot.,Silvius Point,The Silvia point.,0.228762514,0.456441585,0.319019575
R点,point R,Point R,R Point,R point,1.000000101,1.000000101,1.000000101
颌后压痛点,retromandibular tender point,Put some pressure on the back.,Post maxillary pressure point,After the pain.,0.594133928,0.547061428,0.564336266
最远枕点,maximum occipital point,The remotest pillow.,Longest pillow point,The most distant bust.,0.445884388,0.530334395,0.480213801
下颌骨正中点,median mandibular point,The lower cheekbone is right in the middle.,Right midpoint of mandible,Down the middle.,0.497267529,0.731070844,0.396829113
梅格兰点,Meglin point,Megrange Point.,Megalan Point,The Megran point.,0.83925455,1.000000005,0.828791377
颈点,cervicale,"No, no, no. No, no, no, no. No, no, no, no, no, no, no.",Neck point,The neck.,0,0,0
颈根外侧点,lateral neck root point,Outside of the neck.,Outer side of neck,The outside side of the neck.,0.68344723,0.759278042,0.688399708
腭孔点,Meglin point,Punctuation points,Palate pore point,The hole point.,0.615466712,0.520253015,0.787281946
运动点,motor point,Sports Point,Movement point,Athletic Point,0.608074988,0.647016027,0.553223354
喉结节点,larynx point,Throat Node,throat node,The throat nodes.,0.567428426,0.567428426,0.599847884
颈窝点,fossa jugularis point,Necks down.,Neck knot,The neck point.,0.290640024,0.312429406,0.479090078
胸上点,suprasternale,A little bit on the chest.,Put it on your chest,to the chest.,0,0,0
胸中点,mesosternale,The middle of the chest.,Place in the chest,in the chest.,0,0,0
胸下点,substernale,A little bit under the chest.,Underneath the breast,under the chest.,0,0,0
乳头点,thelion,Tits.,Breast Point,the breasts.,0,0,0
最强心尖搏动点,point of maximal impulse,A little bit more of a heart attack.,The strongest point of the heart,The strongest struggle.,0.616382653,0.708664478,0.586481339
肩峰点,acromion,Shoulder Peak,Shoulder Peak,Top of the shoulder.,0.204975886,0.204975886,0.034593867
腋窝前点,anterior armpit point,Front of the armpit.,Axillary Front Point,The front point.,0.62805943,0.540859974,0.493795198
腋窝后点,posterior armpit point,Back of the armpit.,Axillary postpoint,The back point.,0.631874367,0,0.491820189
肩胛骨下角点,angulus inferior scapulae point,Point the lower side of the shoulder.,Bottom point of the shoulder blade,The lower corner of the arm.,0.477331499,0.498858052,0.402622081
膈神经压痛点,phrenic pressure point,I'm going to put some pressure on my nerves.,Diaphragm nerve pressure point,The nerve pain.,0.491334174,0.857846042,0.573808667
锁骨上刺激点,supraclavicular point,It's more exciting on the clavicle.,Stimulation point on the lockbone,Stimulation on the lock.,0.625603198,0.713434288,0.559426646
欧勃点,Erb point,Ober.,Europe Point,by Ebro,0.180888025,0.396473481,-0.001257346
关节盂点,glenoid point,Dots,Joint pelvic point,Arthritis Point,0.064780507,0.502150723,0.418023579
盖诺德米西点,Gueneau de Mussy point,Ginodmix.,Ganodemissi Point,Guinness point.,0.280588816,0.594014996,0.426447754
背部压痛点,dorsal point,Put back pressure on it.,Back pain point,pain in the back.,0.41987996,0.559270371,0.440639364
腰点,"lumbale,lu",Lower your waist.,Waistpoint,Sitting point.,0.22343936,0,0.34705251
艾迪生点,Addison point,"Eddie, do it.",Edison Point,by Eddie.,0.381310324,0.593515475,0.29442383
肖法尔点,Chauffard point,Shawfar point.,Shawfar Point,by Shafar.,0.83925455,1.000000005,0.39083568
季肋点,hypochondriac point,Seasonal Ribbons,Seasonal ribs,Quarterly point.,0.072281751,0.194507388,0.336252433
肋脊点,vertebrocostal point,rib dots.,Ribbed point,the rear.,0.396077275,0.601713799,0.535062941
肋腰点,lumbocostal point,A little bit of a rib.,Ribbed point,the rear.,0.614118787,0.601713799,0.535062941
桑嫩伯格点,Sonnenburg point,Sunenberg Spot.,Sonnberg Point,by Sunanberg.,0.572568801,1.000000005,0.39083568
卡普兰交点,Kaplan point,Kaplan intersection.,Cape Town intersection,Cappuccino Conversion,0.717860319,0.253330846,0.207887729
输尿管盆缘点,Halle point,The urinary tubes.,Urinary basin junction,Transmission of urinary pipe.,0.222273837,0.188470946,0.217356121
脐点,"omphalion,om",The umbilical dot.,Umbilical cord,the point.,0.297584811,0.063696536,0.295552453
耻骨联合点,"symphysion,sy",Combination of the cheekbones.,Shame joint,The shameful combination.,0.192168744,0.151140816,0.222551931
会阴点,perineum point,It's darker.,Shading Point,It will shake.,0.332072283,0.486398072,0.314075469
兰茨点,Lanz point,Rantz Point.,Lantz Point,Lance point.,0.333739218,0.503140089,0.356521485
柯普,Cope point,Cope.,"Cope, California",Cope,0.779606875,0.624521918,0.813476138
迪厄特里克点,Dietrich point,Diertrick.,Deuteric Point,The Diatrix Point.,0.141168204,0.55368961,0.380966016
莫勒点,Moller point,Moeller.,More Point,Molly point.,0.268485064,0.317821823,0.362829394
麦克伯尼点,McBurney point,Macbone.,McBerney Point,of McBurney.,0.036556956,0.408366245,0.800805072
上腹压痛点,epigastric spot,The upper abdominal pain.,Upper abdominal pressure point,Upper pain.,0.506349841,0.520236413,0.394653376
瓦尔米埃点,Voillemier point,Valmier Point.,Valmey Point,Walmart point.,0.83925455,1.000000005,0.681289042
皮尔索耳点,Piersol point,Pilso dots.,Pierson Point,Pierce’s ear,0.393584656,0.499390863,0.361041393
上输尿管点,point of upper ureter,Go to the urinal.,Upper ureteral point,Upper urination point.,0.5488426,0.834352731,0.772341732
中输尿管点,point of middle ureter,B.E.L.D.,Middle ureteral point,The urinary point.,0,0.814090248,0.759263233
阿累点,Halle point,Be a little more tired.,Array Point,Aries point.,0.330870518,0.364115328,0.496901206
巴奈点,Barney point,Barnett.,Barney Point,by Banner,0.413794351,1.000000047,0.219537265
压觉点,pressure point,Pressure point.,Pressure point,the pressure point.,0.931559229,0.999999947,0.904268377
压迫止血点,points of hemostasis by compression,It's a blood stop.,Pressure stopping point,The Blood Stop.,0.500358138,0.612622613,0.527896665
压力制痉挛点,pressure-arresting point,Pressure-based spasms,Pressurized spasm point,The pressure point.,0.728706133,0.575246251,0.799156642
布鲁尔点,Brewer point,Brewer.,Brussels Point,brownies point.,0.781939927,0.509108149,0.496551049
坎农点,Cannion point,Cannon Point,Cannon Point,Cannon Point,0.741296738,0.741296738,0.741296738
骨盆主点,cardinal points of pelvis,The main pelvis.,Bone basin point,The main bone.,0.692863746,0.59241358,0.58873969
选择点,point of selection,Select Point,Selection Point,The choice point.,0.769103344,0.934115292,0.839200983
致癔病点,"hysteroepileptogenous point,hysterogenic point",I don't know what you're talking about.,Points causing hysteria,to the sickness.,0.689869367,0.612645765,0.594584105
格雷费点,Graefe spots,Grayfield.,Greyfee Point,The Grape Point.,0.213837152,0.358168123,0.403722703
神经瘤点,neuroma spot,Neurological tumor.,Neuroma point,The nerve point.,0.439331011,0.863728997,0.397716839
桡骨点,radiale,Bones.,Cochlear point,The bone.,0,0,0
肘尖点,olecranon,Elbow point.,Elbow point,The axle point.,0.175499103,0.27671485,-0.015634332
桡骨茎突点,stylion radiale,A bump in the hip.,Spinal junction,The osteoporosis.,0,0,0
尺骨茎突点,stylion ulna,Bones bumper.,Squamous stem puncture,The scale point.,0.198697006,0.335676684,-0.034342486
桡侧掌骨点,metacarpale radiale,Pulse cyborg dots.,Side-to-shoulder point,The side of the bone.,0,0,0
尺侧掌骨点,metacarpale ulnare,Bones dots on the side of the ruler.,Shack side clavicle point,The side of the bone.,0,0,0
指点,phalangion,Point,Point,point of point.,0,0,0
指尖点,dactylion,Point it up.,Point of finger,The Finger Point,0,0,0
髂嵴点,iliocristale,Dots.,Copper point,the point.,0,0,0
髂前上棘点,iliospinale anterius,The thorns on the front.,Tough spot on the front of the forehead,The front is hard.,0,0,0
髂后上棘点,iliospinale posterius,♪ The back of the rim ♪ ♪ The back of the rim ♪ ♪ The back of the rim ♪,Tight spots on the back of the tail,It is hard afterward.,0,0,0
大转子点,trochanterion,Make a big turn.,Large turning point,A big turn.,0,0,0
髌骨中点,patella center,Midpoint of the jawbone.,Midpoint of the spinal cord,In the middle of the bone.,0.401847908,0.474359909,0.391927766
腓骨头点,caput fibulae point,Bones.,Femoral point,The bone point.,0.189867526,0.42991009,0.216546923
胫骨点,tibiale,Bones dots.,tibial point,The bone.,0,0,0
胫骨前下点,anterior distal-end of tibia point,Bottom of the jawbone.,Front and bottom of the tibia,The bottom of the bone.,0.633237585,0.738812384,0.654511801
内踝点,sphyrion,An inner ankle.,Inner ankle point,The inner neck.,0,0,0
外踝点,malleolus fibulae point,An ankle.,Outer ankle point,The outer point.,0.210491384,0.423717364,0.214311928
跟点,pternion,Stay close.,Follow me,with a point.,0,0,0
胫侧跖骨点或内侧跖骨点,metatarsale tibiale,Bones on the side of the vertebrae or the inner vertebrae.,tibia or inner tibia,The side of the thyroid or the inner side of the thyroid,0,0,0
腓侧跖骨点或外侧跖骨点,metatarsale fibulare,Osteoporosis point or outer osteoporosis point,The dorsal or outer dorsal point.,The side or the external side.,0,0,0
趾尖点,acropodion,Point it up.,Toes,The Finger Point,0,0,0
催眠点,hypnogenetic spot,Hypnosis point,Sleeping Point,Hypnosis Point,0.318512016,0.536921161,0.318512016
痛点,pain spots,It hurts.,Pain Point,the pain.,0.598258287,0.810759782,0.765339024
骨盆点,pelvic spots,pelvis dots.,Basal point,The bone point.,0.63034789,0.439302461,0.489563139
塔迪厄点,Tardieu spots,Tatieu dot.,Tadyee Point,Tadius point.,0.315345522,0.358168123,0.346533567
泰氏点,Tay spot,Tart Point.,Tai Point,Thessaloniki point.,0.306821141,0.424879007,0.317841573
温度点,temperature spots,Temperature,Temperature point,The temperature point.,0.843056289,0.826212484,0.748650211
生命点,vital spot,The point of life.,Life Point,point of life.,0.625279306,0.626379158,0.603130244
齐姆森运动点,Ziemssen motor points,Zimson Stadium.,Jimson Sports Centre,The Zimmons Sports Point,0.315242823,0.21703148,0.549046876
热点,warm spots,Hot.,Hotspots,hot point.,0.56936419,0.347412669,0.577825423
祖德克临界点,"Sudeck critical point,point of Sudeck",Zudek critical point,Zudek boundary,Zodiac Critical Point,0.910101576,0.388270422,0.758773945
扳机点,trigger point,Pull the trigger.,Trigger Point,Toughened Laminated,0.829126382,0.999999944,0.106955568
